age_A,age_B,height_A,height_B,reach_A,reach_B,is_orthodox_A,is_orthodox_B,is_southpaw_A,is_southpaw_B,weight_A,weight_B,won_A,won_B,lost_A,lost_B,drawn_A,drawn_B,kos_A,kos_B,result_A,result_B,result_T
20,32,168,168,173,183,1,1,0,0,127,127,14,34,0,6,0,0,12,23,1,0,0
20,28,168,165,173,168,1,1,0,0,130,130,10,5,0,3,0,1,8,0,1,0,0
18,23,168,170,173,175,1,1,0,0,127,126,3,4,0,9,0,6,2,1,1,0,0
26,27,178,175,183,178,0,0,1,1,130,130,17,16,0,1,0,3,15,6,1,0,0
26,30,178,170,183,175,0,0,1,1,130,130,16,26,0,3,0,0,14,18,1,0,0
25,22,178,173,183,178,0,0,1,1,131,129,14,18,0,5,0,0,12,9,1,0,0
24,27,178,173,183,183,0,0,1,1,130,129,8,7,0,1,0,2,6,5,1,0,0
28,27,173,168,175,169,1,1,0,0,137,132,36,26,3,11,0,0,23,16,1,0,0
27,30,173,180,175,188,1,1,0,0,135,135,32,16,3,7,0,3,20,7,1,0,0
25,37,173,165,175,165,1,1,0,0,133,133,29,44,1,7,0,0,18,30,1,0,0
24,38,173,166,175,178,1,1,0,0,130,129,27,34,1,7,0,0,18,15,1,0,0
22,26,173,174,175,174,1,1,0,0,126,126,24,22,0,6,0,2,15,9,1,0,0
21,30,173,170,175,177,1,1,0,0,126,126,23,59,0,5,0,1,14,37,1,0,0
21,23,173,168,175,163,1,1,0,0,128,128,21,14,0,3,0,1,12,11,1,0,0
32,30,170,168,174,177,0,0,1,1,118,117,23,35,0,3,2,1,17,12,1,0,0
29,36,170,166,174,164,0,0,1,1,118,118,15,37,0,4,2,1,11,27,1,0,0
29,26,170,166,174,168,0,0,1,1,118,118,14,24,0,2,2,0,10,18,1,0,0
28,31,170,163,174,170,0,0,1,1,119,119,12,11,0,2,2,0,8,4,1,0,0
27,27,175,175,188,178,0,0,1,1,153,152,15,17,0,4,0,1,10,5,0,0,1
26,29,175,171,188,184,0,0,1,1,155,153,6,16,0,11,0,2,4,6,1,0,0
24,28,174,170,175,165,1,1,0,0,125,126,11,22,1,8,0,0,3,9,1,0,0
24,31,192,191,193,203,1,1,0,0,199,200,25,22,0,0,0,0,18,21,1,0,0
21,35,192,183,193,191,1,1,0,0,197,198,20,25,0,6,0,2,14,14,1,0,0
26,26,182,173,183,185,1,1,0,0,167,166,20,17,2,3,0,0,15,10,1,0,0
29,34,185,180,185,191,1,1,0,0,170,170,13,17,0,7,0,0,9,17,1,0,0
28,35,185,183,185,198,1,1,0,0,171,173,8,10,0,4,0,0,7,7,1,0,0
27,34,188,196,191,193,1,1,0,0,226,255,10,37,0,11,0,1,8,15,1,0,0
27,35,160,161,163,170,1,1,0,0,111,112,42,51,0,8,0,0,36,30,1,0,0
27,28,160,160,163,166,1,1,0,0,112,111,40,33,0,7,0,2,34,19,1,0,0
27,31,160,160,163,165,1,1,0,0,112,112,39,20,0,3,0,0,33,10,1,0,0
26,28,160,166,163,172,1,1,0,0,113,113,36,32,0,6,0,1,30,23,1,0,0
23,29,160,168,163,160,1,1,0,0,108,108,27,30,0,7,0,1,23,15,1,0,0
23,28,180,182,185,182,1,1,0,0,153,154,22,21,0,7,0,0,11,13,1,0,0
25,27,163,160,168,152,1,1,0,0,112,112,32,39,2,5,0,1,23,28,1,0,0
24,32,163,160,168,168,1,1,0,0,112,112,29,32,2,3,0,1,21,28,1,0,0
24,26,163,165,168,168,1,1,0,0,112,112,28,27,2,3,0,1,20,6,1,0,0
20,26,163,162,168,165,1,1,0,0,116,116,14,12,0,8,0,4,12,5,1,0,0
29,32,165,172,169,178,1,1,0,0,135,135,49,23,11,5,0,1,37,19,1,0,0
24,26,173,165,173,169,1,1,0,0,130,130,20,38,3,10,0,0,18,28,1,0,0
25,28,165,164,169,170,1,1,0,0,135,136,35,25,8,10,0,1,27,17,1,0,0
25,37,165,173,169,170,1,1,0,0,129,128,32,30,7,8,0,0,24,20,1,0,0
24,24,168,165,175,169,1,1,0,0,126,126,22,28,2,6,0,0,14,20,1,0,0
24,22,170,165,168,169,1,1,0,0,127,127,22,25,3,3,0,0,16,17,1,0,0
28,22,173,165,175,169,1,1,0,0,129,129,35,25,1,2,2,0,26,17,1,0,0
21,37,165,159,169,160,1,1,0,0,124,124,20,49,0,19,0,1,14,29,1,0,0
20,34,165,168,169,171,1,1,0,0,125,124,16,56,0,16,0,3,12,40,1,0,0
20,32,165,159,169,170,1,1,0,0,122,124,15,32,0,10,0,0,11,15,1,0,0
19,34,165,159,169,160,1,1,0,0,124,122,8,48,0,17,0,1,5,28,1,0,0
18,23,165,165,169,170,1,1,0,0,126,127,7,19,0,7,0,2,4,12,1,0,0
35,32,188,193,185,201,1,1,0,0,178,177,18,8,1,1,0,0,13,4,1,0,0
32,34,183,188,180,185,1,1,0,0,174,175,28,17,0,0,0,0,15,12,1,0,0
33,32,188,179,185,178,1,1,0,0,172,174,16,27,0,2,0,1,11,17,1,0,0
32,35,188,180,185,183,1,1,0,0,175,174,13,18,0,4,0,0,8,12,1,0,0
35,29,185,188,201,185,1,1,0,0,196,197,30,6,11,0,1,0,26,5,0,1,0
25,35,183,183,192,191,1,1,0,0,180,179,1,17,0,21,0,3,1,9,1,0,0
30,24,168,164,171,169,1,1,0,0,108,108,25,18,2,1,2,0,11,12,1,0,0
29,28,168,156,171,159,1,1,0,0,108,108,24,24,2,1,1,3,11,15,1,0,0
28,39,168,155,171,157,1,1,0,0,108,108,20,32,2,8,1,0,8,13,1,0,0
24,27,168,162,171,163,1,1,0,0,108,108,15,9,1,1,0,1,6,1,1,0,0
21,38,163,157,168,168,1,1,0,0,116,116,13,28,0,40,0,2,13,16,1,0,0
24,45,185,177,194,178,1,1,0,0,153,157,14,23,0,11,0,2,8,11,1,0,0
23,36,185,180,194,182,1,1,0,0,157,158,9,14,0,10,0,0,5,11,1,0,0
22,32,180,170,193,178,1,1,0,0,135,135,5,11,0,8,0,1,5,4,1,0,0
31,23,155,178,157,183,1,1,0,0,117,118,19,12,7,2,0,1,1,5,0,1,0
20,21,178,173,183,171,1,1,0,0,115,116,5,4,0,2,1,0,0,1,1,0,0
32,32,173,169,178,168,1,1,0,0,130,130,23,25,1,3,2,0,17,15,1,0,0
29,31,173,166,178,175,1,1,0,0,129,130,19,34,0,3,1,0,13,31,1,0,0
29,26,173,178,178,180,1,1,0,0,130,130,18,17,0,1,1,0,13,8,1,0,0
28,25,173,168,178,170,1,1,0,0,130,129,16,16,0,0,1,0,13,7,1,0,0
25,19,173,170,178,173,1,1,0,0,131,132,0,2,0,0,0,0,0,1,1,0,0
20,25,164,163,161,166,1,1,0,0,105,105,5,11,0,1,0,0,2,9,1,0,0
19,27,164,162,161,154,1,1,0,0,105,105,4,24,0,1,0,0,2,13,1,0,0
19,21,164,160,161,165,1,1,0,0,105,105,2,17,0,7,0,2,0,4,1,0,0
31,34,201,198,211,208,1,1,0,0,222,239,37,18,0,0,0,1,36,12,1,0,0
29,36,201,188,211,196,1,1,0,0,219,239,32,24,0,1,0,1,32,21,1,0,0
28,37,201,188,211,193,1,1,0,0,224,247,31,25,0,16,0,4,31,11,1,0,0
28,33,201,193,211,206,1,1,0,0,227,238,30,36,0,1,0,1,30,13,1,0,0
27,37,201,193,211,189,1,1,0,0,224,232,28,25,0,5,0,0,28,16,1,0,0
27,35,201,188,211,188,1,1,0,0,225,240,26,15,0,8,0,0,26,13,1,0,0
26,36,201,187,211,198,1,1,0,0,217,243,22,29,0,10,0,0,22,20,1,0,0
24,34,201,189,211,213,1,1,0,0,217,222,12,17,0,20,0,2,12,11,1,0,0
24,26,201,183,211,203,1,1,0,0,218,291,9,4,0,7,0,5,9,0,1,0,0
25,28,166,168,168,179,1,1,0,0,126,125,19,26,0,0,0,0,17,23,1,0,0
23,33,166,168,168,175,1,1,0,0,129,130,9,10,0,4,0,1,9,1,1,0,0
22,24,166,170,168,175,1,1,0,0,128,128,2,1,0,2,0,0,2,0,1,0,0
23,30,178,175,180,180,1,1,0,0,148,147,19,18,0,1,0,1,9,4,1,0,0
22,35,178,168,180,183,1,1,0,0,142,138,15,39,0,14,0,1,8,25,1,0,0
21,32,178,180,180,188,1,1,0,0,143,145,14,29,0,5,0,1,7,19,1,0,0
21,28,178,175,180,178,1,1,0,0,140,141,12,17,0,8,0,2,7,2,1,0,0
20,31,178,175,180,168,1,1,0,0,142,141,9,26,0,14,0,1,4,15,1,0,0
20,20,178,168,180,178,1,1,0,0,140,141,5,6,0,1,0,0,2,2,1,0,0
35,42,193,191,213,198,0,0,1,1,233,229,20,35,0,10,0,2,17,20,1,0,0
32,36,193,185,213,201,0,0,1,1,236,215,14,32,0,13,0,1,12,28,1,0,0
37,32,179,193,191,213,1,1,0,0,234,224,22,10,9,0,1,0,18,8,0,1,0
31,23,162,173,173,178,0,0,1,1,122,122,10,22,0,1,0,0,8,15,1,0,0
31,25,162,168,173,183,0,0,1,1,122,122,9,17,0,1,0,2,7,7,1,0,0
29,34,162,163,173,168,0,0,1,1,122,122,5,33,0,18,0,2,4,26,1,0,0
30,29,188,183,195,191,1,1,0,0,198,199,38,24,2,0,1,0,26,15,0,1,0
26,23,183,193,191,196,0,0,1,1,198,200,17,14,0,1,0,0,11,9,1,0,0
22,20,163,161,164,162,0,0,1,1,118,118,25,15,2,3,0,4,9,7,1,0,0
21,20,163,163,168,164,1,1,0,0,113,114,19,21,2,1,2,0,15,8,1,0,0
19,23,163,163,164,163,0,0,1,1,114,113,16,4,1,4,0,0,5,3,1,0,0
28,30,175,175,180,178,0,0,1,1,134,134,13,23,1,4,0,1,11,12,1,0,0
28,21,180,178,187,175,1,1,0,0,141,143,17,15,0,1,0,1,9,9,1,0,0
28,32,180,171,185,169,1,1,0,0,130,130,20,52,0,5,0,3,12,8,1,0,0
25,21,180,170,185,170,1,1,0,0,130,130,14,15,0,0,0,0,11,3,1,0,0
31,27,191,187,188,188,1,1,0,0,199,199,22,28,2,1,1,0,14,14,1,0,0
30,25,191,188,188,185,1,1,0,0,174,173,19,20,1,1,0,1,12,9,0,0,1
32,25,165,155,166,155,0,0,1,1,108,108,23,16,5,8,0,4,15,11,1,0,0
25,30,160,165,163,166,0,0,1,1,105,105,30,20,4,4,6,0,20,14,1,0,0
28,29,185,191,187,188,0,0,1,1,154,154,22,25,0,2,0,1,15,15,1,0,0
23,40,185,178,187,185,0,0,1,1,157,156,13,28,0,12,0,0,9,16,1,0,0
30,24,163,168,165,169,0,0,1,1,115,114,17,24,0,1,0,1,8,16,0,1,0
20,29,168,170,169,165,0,0,1,1,114,114,14,12,1,3,1,2,6,11,1,0,0
26,28,175,170,183,172,0,0,1,1,114,115,18,19,3,0,0,1,16,3,1,0,0
22,23,166,171,171,177,0,0,1,1,132,130,18,19,0,0,0,1,17,13,1,0,0
22,31,166,171,171,168,0,0,1,1,130,130,17,21,0,0,0,0,16,14,1,0,0
25,27,187,185,192,173,1,1,0,0,159,163,24,22,0,0,0,0,12,7,0,1,0
30,29,169,175,175,183,1,1,0,0,141,140,33,31,2,1,0,1,31,16,1,0,0
29,31,175,175,183,188,1,1,0,0,139,140,30,28,1,5,1,0,15,16,1,0,0
